,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_usd,employee_residence,remote_ratio,company_location,company_size,salary_category,job_category,continent,salary_usd_ppp
24450,2025,Senior,Full-time,Data Scientist,208000,USD,208000,US,0,US,M,High,Data Scientist,North America,208000.0
24451,2025,Senior,Full-time,Data Scientist,177000,USD,177000,US,0,US,M,High,Data Scientist,North America,177000.0
24452,2025,Senior,Full-time,Data Scientist,234200,USD,234200,US,0,US,M,High,Data Scientist,North America,234200.0
24453,2025,Senior,Full-time,Data Scientist,128600,USD,128600,US,0,US,M,High,Data Scientist,North America,128600.0
24454,2025,Senior,Full-time,Data Scientist,78810,GBP,99759,GB,0,GB,M,Medium,Data Scientist,Europe,111889.92784304127
24455,2025,Senior,Full-time,Data Scientist,70929,GBP,89783,GB,0,GB,M,Medium,Data Scientist,Europe,100700.82289850313
24456,2025,Senior,Full-time,Data Scientist,97280,GBP,123139,GB,0,GB,M,High,Data Scientist,Europe,138112.99055387743
24457,2025,Senior,Full-time,Data Scientist,87552,GBP,110825,GB,0,GB,M,High,Data Scientist,Europe,124301.57933825569
24458,2025,Senior,Full-time,Data Scientist,225000,USD,225000,US,0,US,M,High,Data Scientist,North America,225000.0
24459,2025,Senior,Full-time,Data Scientist,99000,USD,99000,US,0,US,M,Medium,Data Scientist,North America,99000.0
24460,2025,Senior,Full-time,AI Engineer,205000,USD,205000,US,100,US,M,High,ML/AI Engineer,North America,205000.0
24461,2025,Senior,Full-time,AI Engineer,160000,USD,160000,US,100,US,M,High,ML/AI Engineer,North America,160000.0
24462,2025,Senior,Full-time,Research Scientist,413000,USD,413000,US,0,US,M,High,Research Scientist,North America,413000.0
24463,2025,Senior,Full-time,Research Scientist,236000,USD,236000,US,0,US,M,High,Research Scientist,North America,236000.0
24516,2025,Senior,Full-time,Principal Scientist,211900,USD,211900,US,0,US,M,High,Data Scientist,North America,211900.0
24517,2025,Senior,Full-time,Principal Scientist,103600,USD,103600,US,0,US,M,High,Data Scientist,North America,103600.0
24518,2024,Mid,Full-time,AI Data Scientist,34000,USD,34000,IN,100,US,L,Low,Data Scientist,North America,34000.0
24519,2024,Mid,Full-time,AI Data Scientist,34000,USD,34000,IN,100,US,L,Low,Data Scientist,North America,34000.0
24524,2025,Senior,Full-time,Data Engineer,200000,USD,200000,US,0,US,M,High,Data Engineer,North America,200000.0
24525,2025,Senior,Full-time,Data Engineer,160000,USD,160000,US,0,US,M,High,Data Engineer,North America,160000.0
24526,2025,Senior,Full-time,Data Engineer,179098,USD,179098,US,0,US,M,High,Data Engineer,North America,179098.0
24527,2025,Senior,Full-time,Data Engineer,123478,USD,123478,US,0,US,M,High,Data Engineer,North America,123478.0
24528,2025,Senior,Full-time,Data Engineer,194000,USD,194000,US,0,US,M,High,Data Engineer,North America,194000.0
24529,2025,Senior,Full-time,Data Engineer,116000,USD,116000,US,0,US,M,High,Data Engineer,North America,116000.0
24530,2025,Senior,Full-time,Data Engineer,170184,USD,170184,CA,0,CA,M,High,Data Engineer,North America,203941.61349816233
24531,2025,Senior,Full-time,Data Engineer,123833,USD,123833,CA,0,CA,M,High,Data Engineer,North America,148396.45221829275
24536,2025,Senior,Full-time,Data Specialist,161000,USD,161000,US,100,US,M,High,Data Governance/Specialist,North America,161000.0
24537,2025,Senior,Full-time,Data Specialist,98300,USD,98300,US,100,US,M,Medium,Data Governance/Specialist,North America,98300.0
24538,2025,Senior,Full-time,Power BI Administrator,213325,USD,213325,US,0,US,M,High,Analytics/BI,North America,213325.0
24539,2025,Senior,Full-time,Power BI Administrator,157675,USD,157675,US,0,US,M,High,Analytics/BI,North America,157675.0
24544,2025,Mid,Full-time,AI Engineer,360000,PLN,88452,PL,0,PL,M,Medium,ML/AI Engineer,Europe,168884.2179914124
24545,2025,Mid,Full-time,AI Engineer,317004,PLN,77887,PL,0,PL,M,Medium,ML/AI Engineer,Europe,148712.12733117555
24546,2025,Mid,Full-time,Data Scientist,30804,EUR,32425,AT,0,AT,M,Low,Data Scientist,Europe,39559.99387407961
24547,2025,Mid,Full-time,Data Scientist,30804,EUR,32425,AT,0,AT,M,Low,Data Scientist,Europe,39559.99387407961
24548,2025,Mid,Full-time,Data Scientist,167000,USD,167000,US,0,US,M,High,Data Scientist,North America,167000.0
24549,2025,Mid,Full-time,Data Scientist,151889,USD,151889,US,0,US,M,High,Data Scientist,North America,151889.0
24550,2025,Senior,Full-time,Data Scientist,164000,USD,164000,US,0,US,M,High,Data Scientist,North America,164000.0
24551,2025,Senior,Full-time,Data Scientist,116000,USD,116000,US,0,US,M,High,Data Scientist,North America,116000.0
24552,2025,Senior,Full-time,Data Scientist,250000,USD,250000,US,0,US,M,High,Data Scientist,North America,250000.0
24553,2025,Senior,Full-time,Data Scientist,180000,USD,180000,US,0,US,M,High,Data Scientist,North America,180000.0
24564,2025,Mid,Full-time,Data Specialist,90000,USD,90000,US,0,US,M,Medium,Data Governance/Specialist,North America,90000.0
24565,2025,Mid,Full-time,Data Specialist,70000,USD,70000,US,0,US,M,Medium,Data Governance/Specialist,North America,70000.0
24566,2025,Senior,Full-time,Analytics Engineer,150000,USD,150000,US,100,US,M,High,Analytics/BI,North America,150000.0
24567,2025,Senior,Full-time,Analytics Engineer,120000,USD,120000,US,100,US,M,High,Analytics/BI,North America,120000.0
24568,2025,Mid,Full-time,Analytics Engineer,120000,USD,120000,US,0,US,M,High,Analytics/BI,North America,120000.0
24569,2025,Mid,Full-time,Analytics Engineer,110000,USD,110000,US,0,US,M,High,Analytics/BI,North America,110000.0
24570,2025,Mid,Full-time,Data Architect,34992,EUR,36833,AT,0,AT,M,Low,Data Architect,Europe,44937.956958025425
24571,2025,Mid,Full-time,Data Architect,34992,EUR,36833,AT,0,AT,M,Low,Data Architect,Europe,44937.956958025425
24572,2025,Senior,Full-time,Machine Learning Engineer,283600,USD,283600,US,0,US,M,High,ML/AI Engineer,North America,283600.0
24573,2025,Senior,Full-time,Machine Learning Engineer,160700,USD,160700,US,0,US,M,High,ML/AI Engineer,North America,160700.0
24576,2025,Senior,Full-time,Machine Learning Engineer,275000,USD,275000,US,100,US,M,High,ML/AI Engineer,North America,275000.0
24577,2025,Senior,Full-time,Machine Learning Engineer,200000,USD,200000,US,100,US,M,High,ML/AI Engineer,North America,200000.0
24578,2025,Mid,Full-time,Machine Learning Engineer,150000,USD,150000,US,100,US,M,High,ML/AI Engineer,North America,150000.0
24579,2025,Mid,Full-time,Machine Learning Engineer,75000,USD,75000,US,100,US,M,Medium,ML/AI Engineer,North America,75000.0
24580,2025,Mid,Full-time,Data Analyst,125000,USD,125000,US,100,US,M,High,Data Analyst,North America,125000.0
24581,2025,Mid,Full-time,Data Analyst,100000,USD,100000,US,100,US,M,High,Data Analyst,North America,100000.0
24582,2025,Senior,Full-time,Data Analyst,120000,USD,120000,US,100,US,M,High,Data Analyst,North America,120000.0
24583,2025,Senior,Full-time,Data Analyst,97500,USD,97500,US,100,US,M,Medium,Data Analyst,North America,97500.0
24584,2025,Junior,Full-time,Data Analyst,135000,USD,135000,US,0,US,M,High,Data Analyst,North America,135000.0
24585,2025,Junior,Full-time,Data Analyst,115000,USD,115000,US,0,US,M,High,Data Analyst,North America,115000.0
24594,2025,Junior,Full-time,Data Operations Analyst,125000,USD,125000,US,0,US,M,High,Other data role,North America,125000.0
24595,2025,Junior,Full-time,Data Operations Analyst,110000,USD,110000,US,0,US,M,High,Other data role,North America,110000.0
24656,2025,Mid,Full-time,Data Scientist,279400,USD,279400,US,0,US,M,High,Data Scientist,North America,279400.0
24657,2025,Mid,Full-time,Data Scientist,254003,USD,254003,US,0,US,M,High,Data Scientist,North America,254003.0
24658,2025,Mid,Full-time,Data Scientist,93000,USD,93000,US,0,US,M,Medium,Data Scientist,North America,93000.0
24659,2025,Mid,Full-time,Data Scientist,63000,USD,63000,US,0,US,M,Medium,Data Scientist,North America,63000.0
24662,2025,Junior,Full-time,Data Analyst,50000,USD,50000,US,0,US,M,Medium,Data Analyst,North America,50000.0
24663,2025,Junior,Full-time,Data Analyst,50000,USD,50000,US,0,US,M,Medium,Data Analyst,North America,50000.0
24664,2025,Mid,Full-time,Data Analyst,80574,USD,80574,CA,0,CA,M,Medium,Data Analyst,North America,96556.61851878514
24665,2025,Mid,Full-time,Data Analyst,57616,USD,57616,CA,0,CA,M,Medium,Data Analyst,North America,69044.68107054789
24666,2025,Junior,Full-time,Data Analyst,121300,USD,121300,US,0,US,M,High,Data Analyst,North America,121300.0
24667,2025,Junior,Full-time,Data Analyst,60000,USD,60000,US,0,US,M,Medium,Data Analyst,North America,60000.0
24668,2025,Mid,Full-time,Data Analyst,70000,USD,70000,US,0,US,M,Medium,Data Analyst,North America,70000.0
24669,2025,Mid,Full-time,Data Analyst,60000,USD,60000,US,0,US,M,Medium,Data Analyst,North America,60000.0
24670,2025,Junior,Full-time,Data Analyst,80000,USD,80000,US,0,US,M,Medium,Data Analyst,North America,80000.0
24671,2025,Junior,Full-time,Data Analyst,65000,USD,65000,US,0,US,M,Medium,Data Analyst,North America,65000.0
24672,2025,Senior,Full-time,Data Analyst,165900,USD,165900,US,100,US,M,High,Data Analyst,North America,165900.0
24673,2025,Senior,Full-time,Data Analyst,116100,USD,116100,US,100,US,M,High,Data Analyst,North America,116100.0
24674,2025,Senior,Full-time,Data Analyst,83000,USD,83000,US,100,US,M,Medium,Data Analyst,North America,83000.0
24675,2025,Senior,Full-time,Data Analyst,31000,USD,31000,US,100,US,M,Low,Data Analyst,North America,31000.0
24676,2025,Senior,Full-time,Data Analyst,124400,USD,124400,US,0,US,M,High,Data Analyst,North America,124400.0
24677,2025,Senior,Full-time,Data Analyst,99100,USD,99100,US,0,US,M,Medium,Data Analyst,North America,99100.0
24678,2025,Senior,Full-time,Data Analyst,140788,USD,140788,US,0,US,M,High,Data Analyst,North America,140788.0
24679,2025,Senior,Full-time,Data Analyst,100381,USD,100381,US,0,US,M,High,Data Analyst,North America,100381.0
24680,2025,Senior,Full-time,Data Analyst,200000,USD,200000,US,100,US,M,High,Data Analyst,North America,200000.0
24681,2025,Senior,Full-time,Data Analyst,170000,USD,170000,US,100,US,M,High,Data Analyst,North America,170000.0
24686,2025,Senior,Full-time,Machine Learning Engineer,251684,USD,251684,US,0,US,M,High,ML/AI Engineer,North America,251684.0
24687,2025,Senior,Full-time,Machine Learning Engineer,242004,USD,242004,US,0,US,M,High,ML/AI Engineer,North America,242004.0
24692,2025,Mid,Full-time,Data Developer,127380,USD,127380,AU,0,AU,M,High,Other data role,Oceania,140688.519932549
24693,2025,Mid,Full-time,Data Developer,98976,USD,98976,AU,0,AU,M,Medium,Other data role,Oceania,109316.90178084449
24694,2025,Senior,Full-time,Data Developer,100000,USD,100000,CA,0,CA,M,High,Other data role,North America,119835.95020575513
24695,2025,Senior,Full-time,Data Developer,85000,USD,85000,CA,0,CA,M,Medium,Other data role,North America,101860.55767489187
24696,2025,Senior,Full-time,Data Engineer,220700,USD,220700,US,0,US,M,High,Data Engineer,North America,220700.0
24697,2025,Senior,Full-time,Data Engineer,175800,USD,175800,US,0,US,M,High,Data Engineer,North America,175800.0
24698,2025,Senior,Full-time,Data Engineer,164600,USD,164600,US,0,US,M,High,Data Engineer,North America,164600.0
24699,2025,Senior,Full-time,Data Engineer,144200,USD,144200,US,0,US,M,High,Data Engineer,North America,144200.0
24700,2025,Senior,Full-time,Data Engineer,196500,USD,196500,US,0,US,M,High,Data Engineer,North America,196500.0
24701,2025,Senior,Full-time,Data Engineer,171267,USD,171267,US,0,US,M,High,Data Engineer,North America,171267.0
24702,2025,Senior,Full-time,Data Engineer,196500,USD,196500,US,0,US,M,High,Data Engineer,North America,196500.0
24703,2025,Senior,Full-time,Data Engineer,188885,USD,188885,US,0,US,M,High,Data Engineer,North America,188885.0
24704,2025,Mid,Full-time,Data Engineer,60000,GBP,75949,GB,0,GB,M,Medium,Data Engineer,Europe,85184.57612597501
24705,2025,Mid,Full-time,Data Engineer,45000,GBP,56962,GB,0,GB,M,Medium,Data Engineer,Europe,63888.71249506628
24706,2025,Mid,Full-time,Prompt Engineer,157200,USD,157200,US,100,US,M,High,Other data role,North America,157200.0
24707,2025,Mid,Full-time,Prompt Engineer,104800,USD,104800,US,100,US,M,High,Other data role,North America,104800.0
24712,2025,Senior,Full-time,Data Manager,87548,USD,87548,US,0,US,M,Medium,Data Leadership,North America,87548.0
24713,2025,Senior,Full-time,Data Manager,65660,USD,65660,US,0,US,M,Medium,Data Leadership,North America,65660.0
24714,2025,Mid,Full-time,Data Consultant,125000,USD,125000,US,100,US,M,High,Other data role,North America,125000.0
24715,2025,Mid,Full-time,Data Consultant,100000,USD,100000,US,100,US,M,High,Other data role,North America,100000.0
24728,2025,Senior,Full-time,Research Scientist,240240,USD,240240,US,0,US,M,High,Research Scientist,North America,240240.0
24729,2025,Senior,Full-time,Research Scientist,214032,USD,214032,US,0,US,M,High,Research Scientist,North America,214032.0
24752,2025,Senior,Full-time,Data Architect,164000,USD,164000,US,0,US,M,High,Data Architect,North America,164000.0
24753,2025,Senior,Full-time,Data Architect,117200,USD,117200,US,0,US,M,High,Data Architect,North America,117200.0
24754,2025,Mid,Full-time,Data Manager,89843,USD,89843,US,0,US,M,Medium,Data Leadership,North America,89843.0
24755,2025,Mid,Full-time,Data Manager,64527,USD,64527,US,0,US,M,Medium,Data Leadership,North America,64527.0
24756,2025,Senior,Full-time,Data Manager,165600,USD,165600,US,100,US,M,High,Data Leadership,North America,165600.0
24757,2025,Senior,Full-time,Data Manager,89000,USD,89000,US,100,US,M,Medium,Data Leadership,North America,89000.0
24760,2025,Junior,Full-time,Data Management Analyst,187300,USD,187300,US,0,US,M,High,Data Governance/Specialist,North America,187300.0
24761,2025,Junior,Full-time,Data Management Analyst,100300,USD,100300,US,0,US,M,High,Data Governance/Specialist,North America,100300.0
24764,2025,Executive,Full-time,Head of Data,75000,GBP,94936,GB,0,GB,M,Medium,Data Leadership,Europe,106480.43975688374
24765,2025,Executive,Full-time,Head of Data,60000,GBP,75949,GB,0,GB,M,Medium,Data Leadership,Europe,85184.57612597501
24766,2025,Senior,Full-time,Data Scientist,175000,USD,175000,US,0,US,M,High,Data Scientist,North America,175000.0
24767,2025,Senior,Full-time,Data Scientist,150000,USD,150000,US,0,US,M,High,Data Scientist,North America,150000.0
24768,2025,Executive,Full-time,Data Scientist,361950,USD,361950,US,100,US,M,High,Data Scientist,North America,361950.0
24769,2025,Executive,Full-time,Data Scientist,189370,USD,189370,US,100,US,M,High,Data Scientist,North America,189370.0
24770,2025,Senior,Full-time,Data Scientist,415760,USD,415760,US,0,US,M,High,Data Scientist,North America,415760.0
24771,2025,Senior,Full-time,Data Scientist,217520,USD,217520,US,0,US,M,High,Data Scientist,North America,217520.0
24772,2025,Mid,Full-time,Data Scientist,93000,USD,93000,US,100,US,M,Medium,Data Scientist,North America,93000.0
24773,2025,Mid,Full-time,Data Scientist,87000,USD,87000,US,100,US,M,Medium,Data Scientist,North America,87000.0
24776,2025,Senior,Full-time,Data Engineer,200000,USD,200000,US,0,US,M,High,Data Engineer,North America,200000.0
24777,2025,Senior,Full-time,Data Engineer,160000,USD,160000,US,0,US,M,High,Data Engineer,North America,160000.0
24778,2025,Senior,Full-time,Data Engineer,240828,USD,240828,US,0,US,M,High,Data Engineer,North America,240828.0
24779,2025,Senior,Full-time,Data Engineer,132323,USD,132323,US,0,US,M,High,Data Engineer,North America,132323.0
24780,2025,Junior,Full-time,Data Analyst,76920,USD,76920,US,0,US,M,Medium,Data Analyst,North America,76920.0
24781,2025,Junior,Full-time,Data Analyst,69120,USD,69120,US,0,US,M,Medium,Data Analyst,North America,69120.0
24782,2025,Senior,Full-time,Data Analyst,115000,USD,115000,US,0,US,M,High,Data Analyst,North America,115000.0
24783,2025,Senior,Full-time,Data Analyst,80000,USD,80000,US,0,US,M,Medium,Data Analyst,North America,80000.0
24784,2025,Junior,Full-time,Data Analyst,252500,USD,252500,US,0,US,M,High,Data Analyst,North America,252500.0
24785,2025,Junior,Full-time,Data Analyst,135900,USD,135900,US,0,US,M,High,Data Analyst,North America,135900.0
24786,2025,Senior,Full-time,Data Analyst,159100,USD,159100,US,0,US,M,High,Data Analyst,North America,159100.0
24787,2025,Senior,Full-time,Data Analyst,106100,USD,106100,US,0,US,M,High,Data Analyst,North America,106100.0
24788,2025,Junior,Full-time,Data Analyst,106000,USD,106000,US,100,US,M,High,Data Analyst,North America,106000.0
24789,2025,Junior,Full-time,Data Analyst,66000,USD,66000,US,100,US,M,Medium,Data Analyst,North America,66000.0
24794,2025,Mid,Full-time,Research Scientist,178000,USD,178000,US,0,US,M,High,Research Scientist,North America,178000.0
24795,2025,Mid,Full-time,Research Scientist,95300,USD,95300,US,0,US,M,Medium,Research Scientist,North America,95300.0
24802,2025,Mid,Full-time,Research Scientist,100320,USD,100320,US,100,US,M,High,Research Scientist,North America,100320.0
24803,2025,Mid,Full-time,Research Scientist,58000,USD,58000,US,100,US,M,Medium,Research Scientist,North America,58000.0
24806,2025,Mid,Full-time,Data Scientist,39694,GBP,50245,GB,0,GB,M,Medium,Data Scientist,Europe,56354.909576816215
24807,2025,Mid,Full-time,Data Scientist,37405,GBP,47348,GB,0,GB,M,Low,Data Scientist,Europe,53105.62759763347
24808,2025,Senior,Full-time,Data Scientist,235000,USD,235000,US,0,US,M,High,Data Scientist,North America,235000.0
24809,2025,Senior,Full-time,Data Scientist,141000,USD,141000,US,0,US,M,High,Data Scientist,North America,141000.0
24810,2025,Mid,Full-time,Data Scientist,246200,USD,246200,US,0,US,M,High,Data Scientist,North America,246200.0
24811,2025,Mid,Full-time,Data Scientist,165000,USD,165000,US,0,US,M,High,Data Scientist,North America,165000.0
24812,2025,Mid,Full-time,Data Scientist,157195,USD,157195,US,100,US,M,High,Data Scientist,North America,157195.0
24813,2025,Mid,Full-time,Data Scientist,104797,USD,104797,US,100,US,M,High,Data Scientist,North America,104797.0
24814,2025,Junior,Full-time,Data Analyst,144000,USD,144000,US,0,US,M,High,Data Analyst,North America,144000.0
24815,2025,Junior,Full-time,Data Analyst,124000,USD,124000,US,0,US,M,High,Data Analyst,North America,124000.0
24816,2025,Junior,Full-time,Data Analyst,80000,USD,80000,US,0,US,M,Medium,Data Analyst,North America,80000.0
24817,2025,Junior,Full-time,Data Analyst,68000,USD,68000,US,0,US,M,Medium,Data Analyst,North America,68000.0
24818,2025,Senior,Full-time,Data Analyst,136000,USD,136000,US,0,US,M,High,Data Analyst,North America,136000.0
24819,2025,Senior,Full-time,Data Analyst,86000,USD,86000,US,0,US,M,Medium,Data Analyst,North America,86000.0
24822,2025,Junior,Full-time,Data Analyst,152000,USD,152000,US,0,US,M,High,Data Analyst,North America,152000.0
24823,2025,Junior,Full-time,Data Analyst,96000,USD,96000,US,0,US,M,Medium,Data Analyst,North America,96000.0
24824,2025,Senior,Full-time,Data Analyst,172915,USD,172915,US,100,US,M,High,Data Analyst,North America,172915.0
24825,2025,Senior,Full-time,Data Analyst,115277,USD,115277,US,100,US,M,High,Data Analyst,North America,115277.0
24826,2025,Executive,Full-time,Head of Data,190000,USD,190000,US,0,US,M,High,Data Leadership,North America,190000.0
24827,2025,Executive,Full-time,Head of Data,125000,USD,125000,US,0,US,M,High,Data Leadership,North America,125000.0
24838,2025,Mid,Full-time,Machine Learning Engineer,149468,USD,149468,US,0,US,M,High,ML/AI Engineer,North America,149468.0
24839,2025,Mid,Full-time,Machine Learning Engineer,122292,USD,122292,US,0,US,M,High,ML/AI Engineer,North America,122292.0
24848,2025,Senior,Full-time,Data Analyst,104500,USD,104500,US,0,US,M,High,Data Analyst,North America,104500.0
24849,2025,Senior,Full-time,Data Analyst,62700,USD,62700,US,0,US,M,Medium,Data Analyst,North America,62700.0
24850,2025,Senior,Full-time,Data Analytics Lead,161000,USD,161000,US,0,US,M,High,Data Leadership,North America,161000.0
24851,2025,Senior,Full-time,Data Analytics Lead,154000,USD,154000,US,0,US,M,High,Data Leadership,North America,154000.0
24852,2025,Junior,Full-time,Data Analyst,83983,USD,83983,US,0,US,M,Medium,Data Analyst,North America,83983.0
24853,2025,Junior,Full-time,Data Analyst,62075,USD,62075,US,0,US,M,Medium,Data Analyst,North America,62075.0
24854,2025,Senior,Full-time,Data Analyst,132099,USD,132099,US,0,US,M,High,Data Analyst,North America,132099.0
24855,2025,Senior,Full-time,Data Analyst,80061,USD,80061,US,0,US,M,Medium,Data Analyst,North America,80061.0
24856,2025,Senior,Full-time,Data Analyst,128092,USD,128092,US,0,US,M,High,Data Analyst,North America,128092.0
24857,2025,Senior,Full-time,Data Analyst,94676,USD,94676,US,0,US,M,Medium,Data Analyst,North America,94676.0
24862,2025,Senior,Full-time,Data Scientist,153925,USD,153925,US,0,US,M,High,Data Scientist,North America,153925.0
24863,2025,Senior,Full-time,Data Scientist,85150,USD,85150,US,0,US,M,Medium,Data Scientist,North America,85150.0
24864,2025,Junior,Part-time,Data Scientist,62400,USD,62400,US,0,US,M,Medium,Data Scientist,North America,62400.0
24865,2025,Junior,Part-time,Data Scientist,41600,USD,41600,US,0,US,M,Low,Data Scientist,North America,41600.0
24866,2025,Senior,Full-time,Data Scientist,135000,USD,135000,US,0,US,M,High,Data Scientist,North America,135000.0
24867,2025,Senior,Full-time,Data Scientist,85000,USD,85000,US,0,US,M,Medium,Data Scientist,North America,85000.0
24868,2025,Senior,Full-time,Data Engineer,195900,USD,195900,US,100,US,M,High,Data Engineer,North America,195900.0
24869,2025,Senior,Full-time,Data Engineer,105500,USD,105500,US,100,US,M,High,Data Engineer,North America,105500.0
24876,2025,Senior,Full-time,Machine Learning Engineer,414000,USD,414000,US,0,US,M,High,ML/AI Engineer,North America,414000.0
24877,2025,Senior,Full-time,Machine Learning Engineer,235000,USD,235000,US,0,US,M,High,ML/AI Engineer,North America,235000.0
24906,2025,Senior,Full-time,Data Architect,194350,USD,194350,US,0,US,M,High,Data Architect,North America,194350.0
24907,2025,Senior,Full-time,Data Architect,80000,USD,80000,US,0,US,M,Medium,Data Architect,North America,80000.0
24908,2025,Mid,Full-time,AI Engineer,141000,USD,141000,US,0,US,M,High,ML/AI Engineer,North America,141000.0
24909,2025,Mid,Full-time,AI Engineer,85000,USD,85000,US,0,US,M,Medium,ML/AI Engineer,North America,85000.0
24912,2025,Senior,Full-time,Business Intelligence Engineer,121400,USD,121400,US,0,US,M,High,Analytics/BI,North America,121400.0
24913,2025,Senior,Full-time,Business Intelligence Engineer,89000,USD,89000,US,0,US,M,Medium,Analytics/BI,North America,89000.0
24914,2025,Senior,Full-time,Data Management,237100,USD,237100,US,0,US,M,High,Data Governance/Specialist,North America,237100.0
24915,2025,Senior,Full-time,Data Management,111100,USD,111100,US,0,US,M,High,Data Governance/Specialist,North America,111100.0
24916,2025,Senior,Full-time,Data Management Analyst,250000,USD,250000,US,0,US,M,High,Data Governance/Specialist,North America,250000.0
24917,2025,Senior,Full-time,Data Management Analyst,120400,USD,120400,US,0,US,M,High,Data Governance/Specialist,North America,120400.0
24920,2025,Senior,Full-time,Data Engineer,227500,USD,227500,US,100,US,M,High,Data Engineer,North America,227500.0
24921,2025,Senior,Full-time,Data Engineer,172500,USD,172500,US,100,US,M,High,Data Engineer,North America,172500.0
24922,2025,Executive,Full-time,Head of Data,185000,USD,185000,US,100,US,M,High,Data Leadership,North America,185000.0
24923,2025,Executive,Full-time,Head of Data,165000,USD,165000,US,100,US,M,High,Data Leadership,North America,165000.0
24926,2025,Senior,Full-time,Data Governance,170038,USD,170038,US,100,US,M,High,Data Governance/Specialist,North America,170038.0
24927,2025,Senior,Full-time,Data Governance,66380,USD,66380,US,100,US,M,Medium,Data Governance/Specialist,North America,66380.0
24928,2025,Senior,Full-time,Machine Learning Engineer,350000,USD,350000,US,0,US,M,High,ML/AI Engineer,North America,350000.0
24929,2025,Senior,Full-time,Machine Learning Engineer,160000,USD,160000,US,0,US,M,High,ML/AI Engineer,North America,160000.0
24930,2025,Mid,Full-time,Machine Learning Engineer,250000,USD,250000,US,100,US,M,High,ML/AI Engineer,North America,250000.0
24931,2025,Mid,Full-time,Machine Learning Engineer,124000,USD,124000,US,100,US,M,High,ML/AI Engineer,North America,124000.0
24932,2025,Senior,Full-time,Data Scientist,225200,USD,225200,US,0,US,M,High,Data Scientist,North America,225200.0
24933,2025,Senior,Full-time,Data Scientist,184200,USD,184200,US,0,US,M,High,Data Scientist,North America,184200.0
24934,2025,Senior,Full-time,AI Architect,248000,USD,248000,US,0,US,M,High,Data Architect,North America,248000.0
24935,2025,Senior,Full-time,AI Architect,149000,USD,149000,US,0,US,M,High,Data Architect,North America,149000.0
24938,2025,Senior,Full-time,Analytics Specialist,300000,USD,300000,US,0,US,M,High,Analytics/BI,North America,300000.0
24939,2025,Senior,Full-time,Analytics Specialist,144400,USD,144400,US,0,US,M,High,Analytics/BI,North America,144400.0
24946,2025,Senior,Full-time,Analytics Specialist,300000,USD,300000,US,0,US,M,High,Analytics/BI,North America,300000.0
24947,2025,Senior,Full-time,Analytics Specialist,144400,USD,144400,US,0,US,M,High,Analytics/BI,North America,144400.0
24952,2025,Senior,Full-time,Machine Learning Engineer,303000,USD,303000,US,0,US,M,High,ML/AI Engineer,North America,303000.0
24953,2025,Senior,Full-time,Machine Learning Engineer,173100,USD,173100,US,0,US,M,High,ML/AI Engineer,North America,173100.0
24962,2025,Mid,Full-time,Data Engineer,45000,GBP,56962,GB,0,GB,M,Medium,Data Engineer,Europe,63888.71249506628
24963,2025,Mid,Full-time,Data Engineer,45000,GBP,56962,GB,0,GB,M,Medium,Data Engineer,Europe,63888.71249506628
24964,2025,Mid,Full-time,Data Analyst,130000,USD,130000,US,0,US,M,High,Data Analyst,North America,130000.0
24965,2025,Mid,Full-time,Data Analyst,126490,USD,126490,US,0,US,M,High,Data Analyst,North America,126490.0
25000,2025,Senior,Contract,Data Architect,200000,USD,200000,US,100,US,M,High,Data Architect,North America,200000.0
25001,2025,Senior,Contract,Data Architect,170000,USD,170000,US,100,US,M,High,Data Architect,North America,170000.0
25004,2025,Senior,Full-time,Machine Learning Engineer,260000,USD,260000,US,0,US,L,High,ML/AI Engineer,North America,260000.0
25005,2025,Senior,Full-time,Machine Learning Engineer,150400,USD,150400,US,0,US,L,High,ML/AI Engineer,North America,150400.0
25006,2025,Senior,Full-time,Applied Scientist,260000,USD,260000,US,0,US,L,High,Research Scientist,North America,260000.0
25007,2025,Senior,Full-time,Applied Scientist,150400,USD,150400,US,0,US,L,High,Research Scientist,North America,150400.0
25008,2025,Mid,Full-time,Applied Scientist,223400,USD,223400,US,0,US,L,High,Research Scientist,North America,223400.0
25009,2025,Mid,Full-time,Applied Scientist,136000,USD,136000,US,0,US,L,High,Research Scientist,North America,136000.0
25010,2025,Senior,Full-time,Applied Scientist,260000,USD,260000,US,0,US,L,High,Research Scientist,North America,260000.0
25011,2025,Senior,Full-time,Applied Scientist,150400,USD,150400,US,0,US,L,High,Research Scientist,North America,150400.0
25012,2025,Senior,Full-time,Applied Scientist,260000,USD,260000,US,0,US,L,High,Research Scientist,North America,260000.0
25013,2025,Senior,Full-time,Applied Scientist,150400,USD,150400,US,0,US,L,High,Research Scientist,North America,150400.0
25014,2025,Senior,Full-time,Data Governance,245700,USD,245700,US,0,US,M,High,Data Governance/Specialist,North America,245700.0
25015,2025,Senior,Full-time,Data Governance,132300,USD,132300,US,0,US,M,High,Data Governance/Specialist,North America,132300.0
25020,2025,Senior,Full-time,Data Engineer,150000,USD,150000,US,0,US,M,High,Data Engineer,North America,150000.0
25021,2025,Senior,Full-time,Data Engineer,130000,USD,130000,US,0,US,M,High,Data Engineer,North America,130000.0
25022,2025,Mid,Full-time,Data Engineer,185000,USD,185000,US,0,US,M,High,Data Engineer,North America,185000.0
